epoch,loss,lr,top1_accuracy,top5_accuracy,val_loss,val_top1_accuracy,val_top5_accuracy
0,9.33846664428711,5e-05,0.0012926136841997504,0.006889204494655132,8.890567779541016,0.0030980391893535852,0.012352941557765007
1,8.333301544189453,4.9e-05,0.014460227452218533,0.04776988551020622,7.448002338409424,0.034745097160339355,0.10972549021244049
2,6.304006099700928,4.802e-05,0.12723010778427124,0.28730112314224243,5.991374969482422,0.14949019253253937,0.3319215774536133
3,4.427521705627441,4.70596e-05,0.3515625,0.6019459962844849,4.883101940155029,0.29243138432502747,0.5307450890541077
4,3.2331385612487793,4.6118406e-05,0.5525709986686707,0.7942187786102295,4.465900897979736,0.3766666650772095,0.6071372628211975
5,2.5392987728118896,4.5196037e-05,0.6839346885681152,0.8892613649368286,4.069972038269043,0.4341176450252533,0.6690980195999146
6,2.0996923446655273,4.4292115e-05,0.7758806943893433,0.9381533861160278,3.847174882888794,0.47999998927116394,0.7005490064620972
7,1.813543677330017,4.3406275e-05,0.8347017168998718,0.9644460082054138,3.6412453651428223,0.5172941088676453,0.7278823256492615
8,1.6082454919815063,4.2538148e-05,0.8790199160575867,0.9796022772789001,3.67881178855896,0.5185490250587463,0.7250980138778687
9,1.4637929201126099,4.1687385e-05,0.907514214515686,0.9880255460739136,3.452749013900757,0.5483529567718506,0.7479215860366821
10,1.3419034481048584,4.0853636e-05,0.9316903352737427,0.9933238625526428,3.387993335723877,0.5549803972244263,0.7525098323822021
11,1.2580013275146484,4.0036564e-05,0.9449573755264282,0.9963920712471008,3.481688976287842,0.5487058758735657,0.7449411749839783
12,1.1824266910552979,3.9235834e-05,0.9553551077842712,0.9973721504211426,3.3749890327453613,0.5652941465377808,0.7541176676750183
13,1.1167680025100708,3.845112e-05,0.9638920426368713,0.9984801411628723,3.3258092403411865,0.5659215450286865,0.7547059059143066
14,1.059090256690979,3.7682097e-05,0.970014214515686,0.9989914894104004,3.3691418170928955,0.5576078295707703,0.7448627352714539
15,1.0090069770812988,3.6928453e-05,0.9745170474052429,0.9992045164108276,3.182249069213867,0.5810195803642273,0.7676078677177429
16,0.9578635692596436,3.6189886e-05,0.9782244563102722,0.9993323683738708,3.19769024848938,0.5781960487365723,0.7600784301757812
17,0.9101875424385071,3.5466088e-05,0.9822584986686707,0.9996165037155151,3.1401100158691406,0.5837647318840027,0.7630588412284851
18,0.8666751384735107,3.4756766e-05,0.984318196773529,0.9995596408843994,3.16806697845459,0.5757647156715393,0.7595686316490173
19,0.8260900378227234,3.406163e-05,0.9853693246841431,0.9998153448104858,3.052253484725952,0.5898431539535522,0.7709019780158997
20,0.7840065956115723,3.33804e-05,0.9876136183738708,0.999786913394928,2.984994888305664,0.5951764583587646,0.7709411978721619
21,0.7476112246513367,3.271279e-05,0.9882670640945435,0.999786913394928,3.0021169185638428,0.5899215936660767,0.7669411897659302
22,0.7105438709259033,3.2058535e-05,0.989332377910614,0.9998011589050293,2.9560673236846924,0.5943137407302856,0.767764687538147
23,0.6745647192001343,3.1417363e-05,0.9903125166893005,0.9998579621315002,2.9497928619384766,0.593137264251709,0.7657647132873535
24,0.637518048286438,3.0789015e-05,0.9919886589050293,0.999943196773529,2.8502285480499268,0.6025097966194153,0.7724705934524536
25,0.6052188277244568,3.0173234e-05,0.992457389831543,0.9998721480369568,2.8400650024414062,0.5952156782150269,0.7704705595970154
26,0.5756397843360901,2.956977e-05,0.9929119348526001,0.9999005794525146,2.7658441066741943,0.6032549142837524,0.7764706015586853
27,0.5454152822494507,2.8978375e-05,0.9934232831001282,0.999943196773529,2.713170289993286,0.6106666922569275,0.7782745361328125
28,0.5191386938095093,2.8398807e-05,0.9936505556106567,0.9999147653579712,2.699932098388672,0.6079607605934143,0.774980366230011
29,0.49141091108322144,2.783083e-05,0.9944176077842712,0.9998579621315002,2.7246570587158203,0.6029411554336548,0.7708627581596375
30,0.4678724706172943,2.7274215e-05,0.9943891763687134,0.9999289512634277,2.666647434234619,0.6048235297203064,0.7750588059425354
31,0.4419010281562805,2.672873e-05,0.9954119324684143,0.9999147653579712,2.5726051330566406,0.614784300327301,0.7805490493774414
32,0.416909784078598,2.6194157e-05,0.9962925910949707,0.9999715685844421,2.550405502319336,0.6145490407943726,0.7810980677604675
33,0.3971753716468811,2.5670273e-05,0.9960085153579712,1.0,2.5124213695526123,0.6171372532844543,0.7822744846343994
34,0.37964341044425964,2.5156867e-05,0.9959090948104858,0.999943196773529,2.5708391666412354,0.6107059121131897,0.7744705677032471
35,0.3588647246360779,2.465373e-05,0.9961079359054565,0.9999573826789856,2.4254446029663086,0.6233333349227905,0.7879999876022339
36,0.3424818217754364,2.4160654e-05,0.9962074160575867,0.9999858140945435,2.514345645904541,0.6101176738739014,0.7760000228881836
37,0.32582494616508484,2.3677441e-05,0.9961221814155579,0.9999858140945435,2.3881137371063232,0.6233333349227905,0.7881176471710205
38,0.3080785274505615,2.3203893e-05,0.9973437786102295,1.0,2.389634370803833,0.6243137121200562,0.7877255082130432
