epoch,accuracy,loss,val_accuracy,val_loss
0,0.2906382977962494,3.1162619590759277,0.43839216232299805,2.2825307846069336
1,0.6923262476921082,1.16122567653656,0.622509777545929,1.4171127080917358
2,0.8473900556564331,0.5466570258140564,0.6763529181480408,1.2507643699645996
3,0.9140141606330872,0.30319222807884216,0.7119215726852417,1.155340552330017
4,0.9418723583221436,0.19827286899089813,0.711254894733429,1.214829683303833
5,0.9556737542152405,0.1507698893547058,0.6798431277275085,1.41485595703125
6,0.9634326100349426,0.12339756637811661,0.7308627367019653,1.177776575088501
7,0.9681844115257263,0.1048014685511589,0.7335686087608337,1.2126331329345703
8,0.9693759083747864,0.09881364554166794,0.7468627691268921,1.1530086994171143
9,0.973347544670105,0.08720105141401291,0.7441960573196411,1.1774441003799438
10,0.9735177159309387,0.08555218577384949,0.7283137440681458,1.2431762218475342
11,0.9769219756126404,0.07656178623437881,0.7648235559463501,1.0962687730789185
12,0.9793333411216736,0.06816450506448746,0.7438823580741882,1.1974139213562012
13,0.9814042448997498,0.06021707504987717,0.7394117712974548,1.241432547569275
14,0.9812623858451843,0.060270536690950394,0.7704705595970154,1.1248356103897095
15,0.9822978973388672,0.057921502739191055,0.7830588221549988,1.0359992980957031
16,0.9827943444252014,0.054724860936403275,0.774313747882843,1.0830833911895752
17,0.9843120574951172,0.05161705240607262,0.7663137316703796,1.1636227369308472
18,0.9850354790687561,0.04767993092536926,0.7638823390007019,1.1795378923416138
19,0.984851062297821,0.04902065917849541,0.7778431177139282,1.1135395765304565
20,0.9866383075714111,0.044727809727191925,0.7731372714042664,1.1399468183517456
21,0.9860425591468811,0.04575284197926521,0.7788627743721008,1.1200182437896729
22,0.9865957498550415,0.04150779917836189,0.7744705677032471,1.1176693439483643
23,0.98676598072052,0.04245150461792946,0.7714117765426636,1.1563876867294312
24,0.9876028299331665,0.040418729186058044,0.7830196022987366,1.0776890516281128
25,0.9880567193031311,0.038620103150606155,0.78396075963974,1.1022886037826538
26,0.9886382818222046,0.03561346232891083,0.7939215898513794,1.0737829208374023
27,0.9899858236312866,0.031832993030548096,0.7661176323890686,1.2573481798171997
28,0.988595724105835,0.0383012630045414,0.7679215669631958,1.2560205459594727
29,0.9903971552848816,0.03136346861720085,0.7549803853034973,1.2859580516815186
30,0.9894893765449524,0.03273935988545418,0.7623529434204102,1.2295681238174438
31,0.991134762763977,0.028666947036981583,0.7881176471710205,1.0872364044189453
32,0.9881985783576965,0.036160003393888474,0.7722352743148804,1.2400671243667603
33,0.9910638332366943,0.02986775152385235,0.804588258266449,1.0305753946304321
34,0.9911489486694336,0.02746313251554966,0.7655686140060425,1.323299527168274
35,0.9904397130012512,0.031203044578433037,0.773921549320221,1.1906325817108154
36,0.9901134967803955,0.032297950237989426,0.7970980405807495,1.1001193523406982
37,0.9936453700065613,0.020780198276042938,0.820784330368042,0.9516773223876953
