epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9951347708702087,0.015681743621826172,4.8321308e-05,0.8508627414703369,0.8600447177886963
1,0.9971773028373718,0.00959642231464386,4.7354883e-05,0.870078444480896,0.7215453386306763
2,0.9980000257492065,0.006304736714810133,4.6407786e-05,0.8772156834602356,0.7008301019668579
3,0.9987659454345703,0.004778284579515457,4.547963e-05,0.8748235106468201,0.6924192905426025
4,0.998680830001831,0.0040820990689098835,4.457004e-05,0.8616470694541931,0.793930172920227
5,0.9981134533882141,0.006367988418787718,4.367864e-05,0.8647450804710388,0.7782797813415527
6,0.9984964728355408,0.0050232624635100365,4.2805066e-05,0.8752157092094421,0.7123889923095703
7,0.9989219903945923,0.00363557948730886,4.1948966e-05,0.872509777545929,0.7379187345504761
8,0.9984964728355408,0.005066067446023226,4.1109986e-05,0.8733333349227905,0.7167710661888123
9,0.9992907643318176,0.0025656947400420904,4.0287785e-05,0.878156840801239,0.7184933423995972
10,0.9990212917327881,0.003244435414671898,3.948203e-05,0.8730587959289551,0.7238531708717346
11,0.9988652467727661,0.0037522162310779095,3.869239e-05,0.8657255172729492,0.7855789661407471
12,0.9989219903945923,0.003540273057296872,3.791854e-05,0.8779215812683105,0.7036026120185852
13,0.9994326233863831,0.0020284829661250114,3.716017e-05,0.8797255158424377,0.684589684009552
14,0.9992623925209045,0.0022316297981888056,3.641697e-05,0.8781960606575012,0.6952689290046692
15,0.9991772770881653,0.0027148078661412,3.568863e-05,0.8736862540245056,0.7378447651863098
16,0.9996454119682312,0.0014110638294368982,3.497486e-05,0.8812156915664673,0.7079237103462219
17,0.9993900656700134,0.0020062688272446394,3.4275363e-05,0.8751372694969177,0.7412590980529785
18,0.999148964881897,0.002900997642427683,3.3589855e-05,0.8628235459327698,0.8036636114120483
19,0.9993049502372742,0.0022698831744492054,3.291806e-05,0.8703921437263489,0.7668549418449402
20,0.9990071058273315,0.0033396584913134575,3.2259697e-05,0.878156840801239,0.6992427110671997
21,0.9995319247245789,0.001677771913819015,3.16145e-05,0.8814117908477783,0.687455415725708
22,0.9994184374809265,0.0018406036542728543,3.098221e-05,0.8745098114013672,0.7191458344459534
23,0.9995744824409485,0.0014382221270352602,3.0362566e-05,0.8643529415130615,0.7899163365364075
24,0.9996170401573181,0.0014397191116586328,2.9755314e-05,0.87376469373703,0.7522428631782532
25,0.9997446537017822,0.0009970796527341008,2.9160208e-05,0.8803921341896057,0.7011964321136475
26,0.9997304677963257,0.0009546491201035678,2.8577004e-05,0.8785882592201233,0.7230322957038879
27,0.9995319247245789,0.001977661857381463,2.8005465e-05,0.8795294165611267,0.7044112086296082
28,0.9995744824409485,0.001683234004303813,2.7445356e-05,0.8772156834602356,0.7036709785461426
29,0.999588668346405,0.0013469795230776072,2.6896449e-05,0.8791764974594116,0.6978704333305359
30,0.9996879696846008,0.0010908739641308784,2.6358519e-05,0.8767451047897339,0.7254641652107239
31,0.9997021555900574,0.0011062098201364279,2.5831348e-05,0.8815293908119202,0.6935367584228516
32,0.9995319247245789,0.0017141572898253798,2.5314721e-05,0.8777647018432617,0.7305176258087158
33,0.9996595978736877,0.0013591001043096185,2.4808427e-05,0.878000020980835,0.7206096649169922
34,0.9996879696846008,0.001087698619812727,2.4312258e-05,0.8817647099494934,0.6963748335838318
35,0.9997163414955139,0.0012683094246312976,2.3826013e-05,0.8829411864280701,0.6956465244293213
36,0.9997588396072388,0.000827768468298018,2.3349492e-05,0.883450984954834,0.6774201989173889
37,0.9997163414955139,0.0011091980850324035,2.2882503e-05,0.8875686526298523,0.6602545380592346
