epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9914751648902893,0.08961978554725647,2.2739816e-05,0.8306666612625122,0.9116213321685791
1,0.9951205849647522,0.0749814435839653,2.228502e-05,0.8368235230445862,0.8602944016456604
2,0.995475172996521,0.07248566299676895,2.183932e-05,0.8314902186393738,0.8825387358665466
3,0.9961702227592468,0.06897447258234024,2.1402533e-05,0.8399215936660767,0.8338375687599182
4,0.9966808557510376,0.06586413085460663,2.0974483e-05,0.836078405380249,0.8525958061218262
5,0.996921956539154,0.06430485844612122,2.0554993e-05,0.8349803686141968,0.8829934000968933
6,0.9972056746482849,0.060760706663131714,2.0143892e-05,0.8343921303749084,0.8652075529098511
7,0.9975602626800537,0.05837518721818924,1.9741015e-05,0.8327058553695679,0.8630879521369934
8,0.9977872371673584,0.05641074851155281,1.9346195e-05,0.8320000171661377,0.8926718831062317
9,0.9977163076400757,0.05506495013833046,1.895927e-05,0.8307058811187744,0.8788756132125854
10,0.9980000257492065,0.05308983847498894,1.8580085e-05,0.8334901928901672,0.8641223311424255
11,0.9978581666946411,0.05235859751701355,1.8208484e-05,0.8443921804428101,0.7944309711456299
12,0.9982127547264099,0.0498901829123497,1.7844315e-05,0.8370196223258972,0.852279007434845
13,0.9983404278755188,0.04801355302333832,1.748743e-05,0.8441568613052368,0.8131478428840637
14,0.9985957741737366,0.046927403658628464,1.7137681e-05,0.8498431444168091,0.7882235050201416
15,0.9985532164573669,0.04544951766729355,1.6794927e-05,0.8468627333641052,0.7972232699394226
16,0.9988936185836792,0.04300051927566528,1.645903e-05,0.8498039245605469,0.7854515910148621
17,0.9988652467727661,0.04189639911055565,1.6129849e-05,0.8487451076507568,0.7921244502067566
18,0.9986666440963745,0.041094474494457245,1.580725e-05,0.8465882539749146,0.7918755412101746
19,0.9988226890563965,0.03991718962788582,1.5491105e-05,0.8448627591133118,0.7998632788658142
20,0.9989361763000488,0.038244180381298065,1.5181283e-05,0.8519607782363892,0.7649317383766174
21,0.9992765784263611,0.03667502850294113,1.4877657e-05,0.8451372385025024,0.7947847843170166
22,0.998992919921875,0.03630674257874489,1.4580104e-05,0.8407843112945557,0.8217118382453918
23,0.9991914629936218,0.03487555682659149,1.4288502e-05,0.8418431282043457,0.8109807968139648
24,0.9991347789764404,0.03400301933288574,1.4002732e-05,0.849647045135498,0.7637568712234497
25,0.9990354776382446,0.03363547846674919,1.3722678e-05,0.8480784296989441,0.7598727941513062
26,0.9995461106300354,0.03144718334078789,1.3448224e-05,0.8515294194221497,0.7552804946899414
27,0.9989787340164185,0.03187500685453415,1.3179259e-05,0.844901978969574,0.7741033434867859
28,0.9991064071655273,0.031058618798851967,1.2915674e-05,0.8548235297203064,0.7399688363075256
29,0.9996879696846008,0.028425730764865875,1.26573605e-05,0.8555686473846436,0.7410535216331482
30,0.9995461106300354,0.02797969989478588,1.24042135e-05,0.8532941341400146,0.7439774870872498
31,0.9995461106300354,0.027377760037779808,1.2156129e-05,0.8520392179489136,0.7539629340171814
32,0.9997021555900574,0.02613886073231697,1.1913006e-05,0.8543921709060669,0.7344090342521667
33,0.9995744824409485,0.025690795853734016,1.1674746e-05,0.8545882105827332,0.735751211643219
34,0.9994609951972961,0.02536908909678459,1.1441251e-05,0.8548627495765686,0.7289270758628845
35,0.9996595978736877,0.02402656339108944,1.1212426e-05,0.852117657661438,0.742946445941925
36,0.9997304677963257,0.02331918105483055,1.0988178e-05,0.8563921451568604,0.7170924544334412
