epoch,loss,lr,top1_accuracy,top5_accuracy,val_loss,val_top1_accuracy,val_top5_accuracy
0,0.08038289844989777,5e-06,0.998465895652771,0.9999715685844421,2.003479242324829,0.6629019379615784,0.8096863031387329
1,0.07476575672626495,4.95e-06,0.9989062547683716,1.0,1.965452790260315,0.6676470637321472,0.8125489950180054
2,0.07354366779327393,4.9005e-06,0.998892068862915,1.0,1.9831064939498901,0.6672157049179077,0.810901939868927
3,0.07273229956626892,4.851495e-06,0.9989914894104004,1.0,1.9723739624023438,0.6687451004981995,0.8125489950180054
4,0.0720854252576828,4.8029797e-06,0.9990767240524292,1.0,1.9480055570602417,0.6703137159347534,0.814431369304657
5,0.07130458950996399,4.7549497e-06,0.9990482926368713,1.0,1.9429012537002563,0.670941174030304,0.8137646913528442
6,0.07087630778551102,4.7074004e-06,0.9990482926368713,1.0,1.9356184005737305,0.6715294122695923,0.8154117465019226
7,0.07027728855609894,4.6603263e-06,0.999218761920929,1.0,1.9262653589248657,0.6736078262329102,0.8153725266456604
8,0.06994840502738953,4.613723e-06,0.9991903305053711,1.0,1.9149717092514038,0.6726274490356445,0.8161568641662598
9,0.06973505020141602,4.5675856e-06,0.9991335272789001,1.0,1.9078747034072876,0.675725519657135,0.8184313774108887
10,0.06931734085083008,4.52191e-06,0.9990909099578857,1.0,1.9005367755889893,0.677294135093689,0.8178431391716003
11,0.06899502873420715,4.4766907e-06,0.9990341067314148,1.0,1.8980445861816406,0.6763529181480408,0.8200392127037048
12,0.06846895068883896,4.431924e-06,0.9991903305053711,1.0,1.8882075548171997,0.6780391931533813,0.8195294141769409
13,0.06832994520664215,4.387605e-06,0.9990624785423279,1.0,1.8822128772735596,0.6784313917160034,0.8199215531349182
14,0.06804512441158295,4.343729e-06,0.9991335272789001,1.0,1.8990808725357056,0.676784336566925,0.8176078200340271
15,0.06757529824972153,4.3002915e-06,0.9991193413734436,1.0,1.8804707527160645,0.6798823475837708,0.8196470737457275
16,0.06737709045410156,4.2572888e-06,0.9990767240524292,1.0,1.8884273767471313,0.6778823733329773,0.8193725347518921
17,0.06692923605442047,4.214716e-06,0.9991335272789001,1.0,1.8677380084991455,0.679921567440033,0.8209019899368286
18,0.0667642280459404,4.1725684e-06,0.999161958694458,1.0,1.8746227025985718,0.6805098056793213,0.8198038935661316
19,0.06634928286075592,4.1308426e-06,0.9991050958633423,1.0,1.8748539686203003,0.6808235049247742,0.8201960921287537
20,0.06621187180280685,4.0895343e-06,0.9991335272789001,1.0,1.8735718727111816,0.6786274313926697,0.8198431134223938
21,0.06586103141307831,4.048639e-06,0.9991193413734436,1.0,1.88137686252594,0.6795294284820557,0.8195294141769409
22,0.06558512151241302,4.0081522e-06,0.9990767240524292,1.0,1.8835712671279907,0.6785098314285278,0.8194117546081543
23,0.06547010689973831,3.968071e-06,0.9990198612213135,1.0,1.8598207235336304,0.682039201259613,0.8218823671340942
24,0.06510388106107712,3.92839e-06,0.999161958694458,1.0,1.8664754629135132,0.6820784211158752,0.820588231086731
25,0.06486747413873672,3.889106e-06,0.9990909099578857,1.0,1.8653643131256104,0.6798039078712463,0.8202353119850159
26,0.06472285091876984,3.8502153e-06,0.9991050958633423,1.0,1.859531044960022,0.6819215416908264,0.8213725686073303
27,0.0643806904554367,3.8117132e-06,0.9990341067314148,1.0,1.8600622415542603,0.6822745203971863,0.8206666707992554
28,0.06415345519781113,3.773596e-06,0.9990341067314148,1.0,1.847190260887146,0.6827843189239502,0.8222745060920715
29,0.06401301175355911,3.73586e-06,0.9991477131843567,1.0,1.8721402883529663,0.6808235049247742,0.8194901943206787
30,0.06376541405916214,3.6985014e-06,0.9991477131843567,1.0,1.8623967170715332,0.6821568608283997,0.820078432559967
31,0.06354597955942154,3.6615163e-06,0.9991477131843567,1.0,1.8605895042419434,0.6804313659667969,0.8204313516616821
32,0.0633404478430748,3.6249012e-06,0.9991477131843567,1.0,1.8599151372909546,0.6816470623016357,0.8205490112304688
33,0.06317362189292908,3.5886521e-06,0.9990198612213135,1.0,1.8381810188293457,0.683803915977478,0.822352945804596
34,0.06299740821123123,3.5527655e-06,0.9989914894104004,1.0,1.8486617803573608,0.6832941174507141,0.8225098252296448
35,0.06275011599063873,3.517238e-06,0.9991050958633423,1.0,1.8515902757644653,0.6839607954025269,0.8211372494697571
36,0.0625806599855423,3.4820655e-06,0.9989914894104004,1.0,1.8550900220870972,0.6828235387802124,0.8207058906555176
37,0.06221332028508186,3.4472448e-06,0.9991903305053711,1.0,1.8512283563613892,0.6834117770195007,0.8203137516975403
38,0.062277670949697495,3.4127725e-06,0.9989914894104004,1.0,1.850092887878418,0.682039201259613,0.820941150188446
39,0.06195463612675667,3.3786448e-06,0.9991193413734436,1.0,1.8579589128494263,0.6813333630561829,0.8210195899009705
40,0.061720311641693115,3.3448584e-06,0.9992613792419434,1.0,1.8404380083084106,0.683803915977478,0.8219215869903564
41,0.06162150204181671,3.31141e-06,0.9992329478263855,1.0,1.8426201343536377,0.6831764578819275,0.8227450847625732
