epoch,loss,top1_accuracy,top5_accuracy,val_loss,val_top1_accuracy,val_top5_accuracy
0,1.597046136856079,0.9275283813476562,0.9918181896209717,3.5725598335266113,0.5856078267097473,0.7753725647926331
1,1.5172336101531982,0.9464062452316284,0.9957812428474426,3.5542960166931152,0.586784303188324,0.7745097875595093
2,1.4788134098052979,0.9547869563102722,0.9972585439682007,3.5458247661590576,0.5894901752471924,0.775882363319397
3,1.4405919313430786,0.9626278281211853,0.9975710511207581,3.5005247592926025,0.5940784215927124,0.78290194272995
4,1.4101238250732422,0.9676562547683716,0.998465895652771,3.4799182415008545,0.5967450737953186,0.7798431515693665
5,1.389815330505371,0.9702556729316711,0.9986931681632996,3.457150936126709,0.6000784039497375,0.7809019684791565
6,1.3617852926254272,0.9748295545578003,0.9988778233528137,3.462653875350952,0.6000392436981201,0.7818039059638977
7,1.3448638916015625,0.9761931896209717,0.9991761445999146,3.4898605346679688,0.5970980525016785,0.7793333530426025
8,1.3254399299621582,0.9791335463523865,0.9993749856948853,3.444413900375366,0.600156843662262,0.78290194272995
9,1.3063199520111084,0.9813636541366577,0.9994886517524719,3.383570671081543,0.6057254672050476,0.7850980162620544
10,1.2917284965515137,0.9821022748947144,0.9995454549789429,3.3746209144592285,0.6066274642944336,0.7878823280334473
11,1.275631308555603,0.9831534028053284,0.9994317889213562,3.400930404663086,0.6050196290016174,0.7859607934951782
12,1.262620449066162,0.9836931824684143,0.9995738863945007,3.382561206817627,0.6090587973594666,0.7877647280693054
13,1.244167685508728,0.9860511422157288,0.9996874928474426,3.337327718734741,0.6100784540176392,0.7888627648353577
14,1.2330658435821533,0.9854687452316284,0.9996448755264282,3.374704360961914,0.6090980172157288,0.7868235111236572
15,1.2191826105117798,0.9876420497894287,0.9997159242630005,3.3177521228790283,0.6118823289871216,0.7903921604156494
16,1.2044365406036377,0.9881675839424133,0.999786913394928,3.348754644393921,0.6079215407371521,0.7864705920219421
17,1.1931096315383911,0.9886505603790283,0.9997442960739136,3.289112091064453,0.6125882267951965,0.7900392413139343
18,1.1805421113967896,0.989602267742157,0.9996733069419861,3.3060643672943115,0.6132941246032715,0.7886666655540466
19,1.166891098022461,0.9904829263687134,0.9998153448104858,3.28192400932312,0.6122353076934814,0.7900784611701965
20,1.1567195653915405,0.9901846647262573,0.9997585415840149,3.252690315246582,0.6158823370933533,0.7924705743789673
21,1.14299738407135,0.9912357926368713,0.9998579621315002,3.2531399726867676,0.614784300327301,0.7904706001281738
22,1.132703185081482,0.9912499785423279,0.9998437762260437,3.2232046127319336,0.6169411540031433,0.7930195927619934
23,1.120711088180542,0.9916051030158997,0.9998863339424133,3.2367358207702637,0.6187843084335327,0.7939608097076416
24,1.1107105016708374,0.9922727346420288,0.9999147653579712,3.255990743637085,0.6152156591415405,0.7900392413139343
25,1.098353624343872,0.9928267002105713,0.9999858140945435,3.2012252807617188,0.6188235282897949,0.7925882339477539
26,1.0881906747817993,0.9928408861160278,0.9998721480369568,3.181915521621704,0.620784342288971,0.7930195927619934
27,1.0778640508651733,0.9933096766471863,0.9998721480369568,3.16135835647583,0.6202744841575623,0.7946666479110718
28,1.067410945892334,0.9932244420051575,0.999943196773529,3.134791374206543,0.6220784187316895,0.7954117655754089
29,1.0563095808029175,0.9938210248947144,0.9999573826789856,3.1346001625061035,0.6227450966835022,0.7955294251441956
30,1.0453444719314575,0.9946733117103577,0.9999289512634277,3.127718687057495,0.6210980415344238,0.7944706082344055
31,1.0363861322402954,0.9943040013313293,0.9999573826789856,3.1855175495147705,0.617607831954956,0.7907842993736267
32,1.0273555517196655,0.9944034218788147,0.9999858140945435,3.1347131729125977,0.621137261390686,0.7934901714324951
33,1.019208550453186,0.9938778281211853,0.999943196773529,3.120054244995117,0.6204705834388733,0.7942352890968323
34,1.0075746774673462,0.995255708694458,0.999943196773529,3.0773792266845703,0.6236862540245056,0.7939215898513794
35,0.9964174628257751,0.995312511920929,0.9999715685844421,3.1036531925201416,0.6206666827201843,0.7937647104263306
36,0.9884441494941711,0.9955965876579285,0.9999715685844421,3.0557491779327393,0.6282745003700256,0.7983529567718506
37,0.979414165019989,0.995340883731842,1.0,3.046328544616699,0.6248627305030823,0.7960000038146973
38,0.9704989194869995,0.995880663394928,0.9999715685844421,3.0648133754730225,0.6215294003486633,0.7939215898513794
39,0.9617927670478821,0.9954119324684143,0.9999573826789856,3.030353307723999,0.6255686283111572,0.7965490221977234
40,0.9524421691894531,0.9957812428474426,0.9999858140945435,3.03951358795166,0.6269019842147827,0.7968627214431763
41,0.9433680176734924,0.9962925910949707,0.9999858140945435,3.0247690677642822,0.624274492263794,0.7956862449645996
